,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label
647,spotify:track:1CRESO4AuKm5B5Lqodk7t9,Frame of Mind,"spotify:artist:28Ky95tmlHktB96DBUoB0g, spotify:artist:1SFSz2SewAsgPeFvGmAouI","Tristam, Braken",spotify:album:0G81TQmABHFW7GfWsYGdAP,Frame of Mind,"spotify:artist:28Ky95tmlHktB96DBUoB0g, spotify:artist:1SFSz2SewAsgPeFvGmAouI","Tristam, Braken",2014-04-25,https://i.scdn.co/image/ab67616d0000b2732186a9cf4883b85e7e898209,1,1,274285,,False,0,,2017-07-22T21:37:59Z,0.435,0.727,1.0,-6.969,1.0,0.0611,0.0424,4.6e-06,0.105,0.399,174.992,4.0,True
648,spotify:track:5YeF3yVKzbxW1KI4kPcSVo,Shelter,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,The xx,spotify:album:2rmMeEq5D1Bg7YFRwtHBDr,xx,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,The xx,2009-08-18,https://i.scdn.co/image/ab67616d0000b273cd4b0b0947bdd7708d24349e,1,7,270240,,False,0,,2017-04-22T07:37:04Z,0.265,0.377,0.0,-15.678,1.0,0.0797,0.802,0.536,0.107,0.0621,214.131,4.0,True
649,spotify:track:1GNIYBU1XhMSlAxJXiUBbC,Video Games - Remastered 2012,spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,spotify:album:3TtsWmvFbChKTWIRfa85lS,Born To Die (Bonus Track Version),spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,2012-01-30,https://i.scdn.co/image/ab67616d0000b27377a3afdbf4d24dd545105177,1,4,281946,https://p.scdn.co/mp3-preview/b97fd77aa506db911f010c37be21c49a22172c72?cid=9950ac751e34487dbbe027c4fd7f8e99,False,47,,2017-04-22T08:10:41Z,0.39,0.255,6.0,-9.676,0.0,0.0299,0.806,1.14e-06,0.0887,0.179,122.056,4.0,False
650,spotify:track:1jIvxe4pkZDvsyP9lfcwYX,Rome,spotify:artist:1xU878Z1QtBldR7ru9owdU,Phoenix,spotify:album:6YXmQrXOjJoMheJ2IA5NqK,Wolfgang Amadeus Phoenix,spotify:artist:1xU878Z1QtBldR7ru9owdU,Phoenix,2009-01-01,https://i.scdn.co/image/ab67616d0000b2732734934f36a17722c5faa058,1,7,278080,,False,0,,2015-10-26T06:05:35Z,0.651,0.676,2.0,-6.872,1.0,0.0328,0.353,0.0739,0.101,0.407,126.227,4.0,False
651,spotify:track:3ZFwFe104aquLWAwagKgtg,BLOOD.,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,spotify:album:7wbJhbCvhPfbK1CLAkpq25,DAMN.,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,2017-04-14,https://i.scdn.co/image/ab67616d0000b2739e0062560d8bcccca15d412a,1,1,118066,,True,0,,2017-04-14T18:12:52Z,0.513,0.237,8.0,-16.683,0.0,0.24,0.133,0.0938,0.521,0.447,78.563,3.0,True
652,spotify:track:56WVULdTfBLm31VzVHXKeV,One Trick Pony,spotify:artist:2CIMQHirSU0MQqyYHq0eOx,deadmau5,spotify:album:47MVgO7XNmxzoYSJIvqxAG,4x4=12,spotify:artist:2CIMQHirSU0MQqyYHq0eOx,deadmau5,2010-12-06,https://i.scdn.co/image/ab67616d0000b273baf5dcaa110898f2dfc3abfd,1,9,239128,https://p.scdn.co/mp3-preview/366bf1ff2b08a163a9a09f44292370794ab9ad7f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,17,,2017-07-22T21:06:48Z,0.684,0.679,10.0,-8.496,0.0,0.0454,0.000602,0.0,0.119,0.0938,140.139,4.0,True
653,spotify:track:2kfU22tEbpQc6diUz9jrev,オメガ (Omega),spotify:artist:2tEyBfwGBfQgLXeAJW0MgC,Baltra,spotify:album:4yBn9RJ2G1QtCDQHWiXc2b,Can’t Explain It,spotify:artist:2tEyBfwGBfQgLXeAJW0MgC,Baltra,2018-09-28,https://i.scdn.co/image/ab67616d0000b2731f4a78b33aa4981936c464ff,1,4,410275,,False,0,,2018-10-02T17:27:07Z,0.784,0.717,6.0,-9.575,1.0,0.162,0.17,0.859,0.139,0.442,117.047,3.0,True
654,spotify:track:18m5J0WYJRm6dahamZuVvC,Looking For Tracy Tzu,spotify:artist:1l2oLiukA9i5jEtIyNWIEP,Carpenter Brut,spotify:album:2QORAg8OmbRgswrDPooxKT,TRILOGY,spotify:artist:1l2oLiukA9i5jEtIyNWIEP,Carpenter Brut,2017-06-28,https://i.scdn.co/image/ab67616d0000b273de269c04366c9eec3e3fabba,1,10,257614,,False,0,,2018-03-29T06:15:38Z,0.496,0.879,7.0,-3.139,1.0,0.105,0.000844,0.731,0.112,0.092,109.019,4.0,False
655,spotify:track:0GOir7Vo16WHLO3odJJkoB,"Lostmyhead - Live From The O2, London. 16.12.16",spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,The 1975,spotify:album:1s8VYzyi1ZNRgjke4AUwy0,"DH00278 (Live from The O2, London. 16.12.16)",spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,The 1975,2017-12-15,https://i.scdn.co/image/ab67616d0000b27391ef5eaa78b7c6806dd6c03c,1,15,341193,https://p.scdn.co/mp3-preview/6d19d2048a022a24f836ffbdd255c1ad151fc30f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,23,,2017-12-15T20:00:10Z,0.162,0.55,0.0,-9.398,1.0,0.063,0.0162,0.565,0.221,0.0516,110.457,4.0,True
656,spotify:track:7phcn874EBHYsxWLVr2ZNC,MKE To CHI,spotify:artist:6QrRSfwkZsixVIgDRhpToh,Ian Ewing,spotify:album:0ziBOEJWNqtgDvajNhJrkj,MKE to CHI,spotify:artist:6QrRSfwkZsixVIgDRhpToh,Ian Ewing,2017-11-14,https://i.scdn.co/image/ab67616d0000b27371e30c50a963d007613065c5,1,1,232389,,False,0,,2018-10-09T05:49:13Z,0.555,0.293,5.0,-9.186,1.0,0.0515,0.873,0.0895,0.109,0.307,85.038,4.0,True
